model,type,balanced_accuracy,sensitivity,specificity,precision,f1_score,auc,TP,FP,FN,TN
Model 1,Individual,0.9511 / 0.7899 / -,0.9302 / 0.5897 / -,0.9719 / 0.9901 / -,- / 0.5897 / -,- / 0.5897 / -,0.0140 / 0.1255 / -,100 / 22 / -,111 / 15 / -,7 / 16 / -,3840 / 1596 / -
Model 2,Individual,0.8827 / 0.8438 / -,0.7850 / 0.7179 / -,0.9803 / 0.9696 / -,- / 0.3636 / -,- / 0.4827 / -,0.0199 / 0.1128 / -,84 / 27 / -,77 / 49 / -,23 / 11 / -,3874 / 1562 / -
Model 3,Individual,0.9450 / 0.8337 / -,0.9167 / 0.6923 / -,0.9734 / 0.9752 / -,0.4853 / 0.4030 / -,0.6346 / 0.5094 / -,0.0152 / 0.1006 / -,99 / 26 / -,105 / 39 / -,8 / 12 / -,3846 / 1572 / -
Model 4,Individual,0.9062 / 0.8087 / -,0.8407 / 0.6410 / -,0.9717 / 0.9764 / -,- / 0.3968 / -,- / 0.4902 / -,0.0179 / 0.1075 / -,90 / 24 / -,111 / 38 / -,17 / 14 / -,3840 / 1573 / -
Model 5,Individual,0.9333 / 0.8487 / -,0.8911 / 0.7179 / -,0.9754 / 0.9795 / -,0.4839 / 0.4590 / -,0.6272 / 0.5600 / -,0.0111 / 0.1052 / -,96 / 27 / -,97 / 33 / -,11 / 11 / -,3854 / 1578 / -
Ensemble (average),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 27 / 29,- / 29 / 53,- / 11 / 10,- / 1582 / 1559
Ensemble (confidence),Ensemble,- / 0.8494 / 0.8550,- / 0.7179 / 0.7436,- / 0.9808 / 0.9665,- / 0.4746 / 0.3494,- / 0.5714 / 0.4754,- / 0.1014 / 0.1014,- / 27 / 29,- / 30 / 54,- / 11 / 10,- / 1581 / 1558
Ensemble (logit),Ensemble,- / 0.8497 / 0.8550,- / 0.7179 / 0.7436,- / 0.9814 / 0.9665,- / 0.4828 / 0.3494,- / 0.5773 / 0.4754,- / 0.1025 / 0.1025,- / 27 / 29,- / 29 / 54,- / 11 / 10,- / 1582 / 1558
Ensemble (majority_60),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 27 / 29,- / 29 / 53,- / 11 / 10,- / 1582 / 1559
Ensemble (majority_80),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 27 / 29,- / 29 / 53,- / 11 / 10,- / 1582 / 1559
Ensemble (max_confidence),Ensemble,- / 0.8237 / 0.8516,- / 0.6667 / 0.7436,- / 0.9808 / 0.9597,- / 0.4561 / 0.3085,- / 0.5417 / 0.4361,- / 0.1083 / 0.1083,- / 26 / 29,- / 30 / 65,- / 12 / 10,- / 1581 / 1547
Ensemble (median),Ensemble,- / 0.8481 / 0.8563,- / 0.7179 / 0.7436,- / 0.9783 / 0.9690,- / 0.4444 / 0.3671,- / 0.5490 / 0.4915,- / 0.1088 / 0.1088,- / 27 / 29,- / 34 / 50,- / 11 / 10,- / 1577 / 1562
Ensemble (unanimous),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 27 / 29,- / 29 / 53,- / 11 / 10,- / 1582 / 1559
